Name,Address,Website,Phone Number,Image URL
Normandie Hotel,"96 Sussex Gardens, London, W2 1UH",normandie-hotel-london.com,020 3031 6984 ,"https://c.yell.com/t_bigSquare,f_auto/3c6ea713-57b6-489f-850b-a9ae4fb2fe54_image_jpeg.jpg"
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel","1 Leicester Square, London, WC2H 7NA",ihg.com,020 3953 4200 ,"https://c.yell.com/t_bigRect,f_auto/9f0571dd-473b-4b90-974a-3d56a26203d2_image_png.png"
Victory House Hotel,"14 Leicester Place, London, WC2H 7BZ",victoryhouselondon.com,020 3909 4100 ,"https://c.yell.com/t_bigSquare,f_auto/cf73df89-531c-4056-b6df-fcac8bc5b831_image_jpeg.jpg"
The Nadler,"51 Bedford Street, London, WC2R 0PZ",nadlerhotels.com,020 3146 1790 ,"https://c.yell.com/t_bigSquare,f_auto/67987973-f6ec-4b5b-b92d-71a1216ea530_image_jpeg.jpg"
Club Quarters,"8 Northumberland Avenue, London, WC2N 5BY",clubquarters.com,020 7451 5600 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Thistle Trafalgar Hotels,"Whitcomb St, Trafalgar Square, London, WC2H 7HG",thistle.com,0871 376 9037 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sofitel London St James Hotel,"6 Waterloo Place, London, SW1Y 4AN",sofitelstjames.com,020 7747 2200 ,"https://c.yell.com/t_bigRect,f_auto/50c87478-bba6-48df-ac51-3838b9d0106d_image_jpeg.jpg"
Z Hotels,"Grove House, 2 Orange St, London, WC2H 7DF",thezhotels.com,020 3551 3720 ,"https://c.yell.com/t_bigSquare,f_auto/1c48f825-3fa0-40c3-a4db-07e3bdbc1c07_image_jpeg.jpg"
Assembly Hotel,"27-31 Charing Cross Rd, London, WC2H 0LS",assemblyhotel.com,020 3953 4251 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Grand at Trafalgar Square,"8 Trafalgar Square, London, WC2N 5BY",clubquartershotels.com,020 7451 5555 ,"https://c.yell.com/t_bigSquare,f_auto/713ba855-2bf8-4948-8108-7ff8b48e81ef_image_jpeg.jpg"
The Royal Horse Guard Hotel,"2 Whitehall Place, Westminster, London, W1A 2HD",theroyalhorseguards.com,020 7839 3344 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Royal Horseguards Hotel,"2 Whitehall Court, London, SW1A 2EJ",guoman.com,020 7839 3400 ,"https://c.yell.com/t_bigSquare,f_auto/5c231790-9667-493d-82d5-9861fbf3baba_image_jpeg.jpg"
The Nadler,"51 Bedford Street, Charing Cross, LONDON, WC2R 0PZ",nadlerhotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Resident,"51 Bedford St, London, WC2R 0PZ",residenthotels.com,020 3146 1790 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Brumus Bar & Restaurant,"1 Suffolk Place, London, SW1Y 4HX",brumus.com,020 7451 1007 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Z Hotels,"Whitevale St Bellgrove, London, WC2H 7ED",thezhotels.com,020 3551 3720 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Every Hotel Piccadilly,"High St Erdington, London, W1D 6BZ",,01294 279274 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sofitel,"6 Waterloo Place, London, SW1Y 4AN",sofitel.accorhotels.com,020 7747 2200 ,"https://c.yell.com/t_bigSquare,f_auto/8fb4d463-c9a8-41d0-81c9-e8612ba777a4_image_jpeg.jpg"
Thistle Hotels (UK) Ltd,"39 Coventry St, London, W1D 6BZ",thistle.com,020 7930 4033 ,"https://c.yell.com/t_bigSquare,f_auto/6df9d82d-6a6d-4faf-aae2-6c94a70d26df_image_jpeg.jpg"
Premier Inn,"Queens House 1 Leicester Place, London, WC2H 7BP",premierinn.com,0333 321 9254 ,"https://c.yell.com/t_bigRect,f_auto/f0156f54-cced-4c37-a210-5d8099c3754c_image_jpeg.jpg"
1 2 1 2,"2 Whitehall Court, London, SW1A 2EJ",thistlehotels.com,020 7451 9333 ,"https://c.yell.com/t_bigSquare,f_auto/c6c8dd06-ec9c-4e98-bbb3-a674a7487402_image_jpeg.jpg"
Scoff & Venter Within Radisson Blu,"97 Camden, London, WC1B 3BL",radissonhotels.com,020 7637 3477 ,"https://c.yell.com/t_bigRect,f_auto/07c44556-d02e-4f1b-b78a-4ab690616bbb_image_jpeg.jpg"
The Fielding Hotel,"4 Broad Court, London, WC2B 5QZ",the-fielding-hotel.co.uk,020 7836 8305 ,"https://c.yell.com/t_bigSquare,f_auto/cec480c9-dea6-4980-92e9-c80f8a4e50cf_image_jpeg.jpg"
Strand Palace,"372 Strand, London, WC2R 0JJ",strandpalacehotel.co.uk,020 7379 4737 ,"https://c.yell.com/t_bigRect,f_auto/7437e210-5bd1-4893-8922-34f62576a1b8_image_jpeg.jpg"
W London,"10 Wardour St, London, W1D 6QF",marriott.com,020 7758 1000 ,"https://c.yell.com/t_bigRect,f_auto/917c683b-a1d0-4dc7-8023-53fff398712b_image_jpeg.jpg"
Premier Inn London County Hall hotel,"County Hall Belvedere Road, Westminster, London, SE1 7PB",premierinn.com,0333 321 1246 ,"https://c.yell.com/t_bigRect,f_auto/6965e4b8-c54a-421c-a08d-aa9538a7e0ed_image_jpeg.jpg"
Z Hotels,"17 Moor Street, London, W1D 5AP",thezhotels.com,020 3551 3701 ,"https://c.yell.com/t_bigSquare,f_auto/0c3eeb4e-6997-402a-be9b-5de856614326_image_jpeg.jpg"
So Spa Within Sofitel St James Hotel,"6 Waterloo Place, London, SW1Y 4AN",sofitelstjames.com,020 7747 2204 ,"https://c.yell.com/t_bigSquare,f_auto/acae6525-c361-44c1-bb1f-4e63ab504430_image_jpeg.jpg"
The Piccadilly West End Hotel,"65-73 Shaftesbury Avenue, Piccadilly, London, W1D 6EX",thepiccadillywestend.co.uk,020 7871 6000 ,"https://c.yell.com/t_bigSquare,f_auto/690d3808-4197-404e-9084-1e7fe3af55ec_image_jpeg.jpg"
Sofitel London St James,"6 Waterloo Place, London, SW1Y 4AN",sofitel.com,0845 4566399 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Leicester House,"1 Leicester St, London, WC2H 7BL",leicesterhouse.com,020 3696 6460 ,"https://c.yell.com/t_bigSquare,f_auto/094632c4-d9dc-4743-9608-232220e181e8_image_jpeg.jpg"
Hotel Strand Continental,"143 Strand, London, WC2R 1JA",strand-continental.co.uk,020 7836 4880 ,"https://c.yell.com/t_bigSquare,f_auto/a14619b2-d739-41f2-8934-f8a973f58e61_image_jpeg.jpg"
Campbell Gray Hotels Ltd,"353 Strand, London, WC2R 0HS",campbellgrayhotels.com,020 7395 1660 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Soho Hotel,"4 Richmond Mews, London, W1D 3DH",firmdale.com,020 7559 3000 ,"https://c.yell.com/t_bigSquare,f_auto/4adfe258-e905-421b-841f-bb82c6a4ca9d_image_jpeg.jpg"
Thistle Piccadilly,"Coventry Street, London, W1D 6BZ",thistlehotels.com,0845 0805104 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Fairmont Hotels & Resorts,"1 Savoy Hill, London, WC2R 0BP",fairmont.com,0845 0710170 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mena Hospitality & Leisure Ltd,"71-75 Shelton St, Covent Garden, London, WC2H 9JQ",menahl.com,0844 322 0243 ,"https://c.yell.com/t_bigRect,f_auto/06526da0-6497-4519-9bf5-58419aa33c1a_image_png.png"
Radisson Blu Edwardian Mercer Street,"20 Mercer St, London, WC2H 9HD",radissonhotels.com,020 7836 4300 ,"https://c.yell.com/t_bigRect,f_auto/750164e9-d97b-48e5-87e3-344e14e1c098_image_jpeg.jpg"
Kettner's Townhouse,"29 Romilly Street, Chinatown, LONDON, W1D 5HP",sohohouse.com,020 7734 5650 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hazlitt's Hotel,"6 Frith St, London, W1D 3JA",rookeryhotel.com,020 7434 1771 ,"https://c.yell.com/t_bigSquare,f_auto/1bb5518b-340e-4eab-a94d-838bda52f858_image_jpeg.jpg"
The Cavendish,"81 Jermyn St, London, SW1Y 6JF",thecavendish-london.co.uk,020 7930 2111 ,"https://c.yell.com/t_bigSquare,f_auto/01a89a44-1b4f-42f4-b60b-14e6a94ba8fb_image_jpeg.jpg"
Brasserie Max within the Covent Garden Hotel,"10 Monmouth St, London, WC2H 9HB",firmdale.com,020 7806 1000 ,"https://c.yell.com/t_bigSquare,f_auto/bb7aafa1-6eeb-4539-a34e-ec3e9902e4bb_image_jpeg.jpg"
London Marriott Hotel County Hall,"London County Hall, Westminster Bridge Road, London, SE1 7PB",marriott.com,020 7928 5200 ,"https://c.yell.com/t_bigRect,f_auto/ea11deeb-0fc1-416e-a2f0-d9fb21f77c35_image_jpeg.jpg"
1even Dials Hotel,"7 Monmouth St, London, WC2H 9DA",sevendialshotellondon.com,020 7240 0823 ,"https://c.yell.com/t_bigSquare,f_auto/a3d079ed-68cf-46a0-928d-738b917e6e52_image_jpeg.jpg"
The Green Bar Cafe Royal Hotel,"68 Regent St, London, W1B 5RL",hotelcaferoyal.com,020 7406 3310 ,"https://c.yell.com/t_bigSquare,f_auto/ca07dabb-95c8-4b4f-a692-7d588da9abb1_image_jpeg.jpg"
The Ritz London,"150 Piccadilly, Westminster, London, W1J 9BR",theritzlondon.com,020 7493 8181 ,"https://c.yell.com/t_bigRect,f_auto/1476c554-e0ff-4c10-b984-6926f29c0f4b_image_jpeg.jpg"
Covent Garden Hotel,"10 Monmouth St, London, WC2H 9HB",procleanerslondon.com,020 7806 1000 ,"https://c.yell.com/t_bigSquare,f_auto/a9a419de-5f9c-4757-a7c0-53cdca7a58fc_image_jpeg.jpg"
Sanctum Soho Hotel,"20 Warwick St, London, W1B 5NF",karmagroup.com,020 7292 6100 ,"https://c.yell.com/t_bigSquare,f_auto/d86523cd-775a-43d0-8b7e-ed41c4e316e0_image_jpeg.jpg"
Firmdale Hotels Plc,"21 Golden Square, London, W1F 9JN",firmdalehotels.com,020 7581 4045 ,https://www.yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Dean Street Townhouse,"69-71 Dean St, London, W1D 3SE",deanstreettownhouse.com,020 7434 1775 ,"https://c.yell.com/t_bigSquare,f_auto/34f43240-49dd-4197-8ace-2785ca6b0ca9_image_jpeg.jpg"
